"","tip","cites"
"199","Aethopyga pulcherrima",0
"200","Aethopyga saturata",0
"201","Aethopyga shelleyi",0
"202","Aethopyga siparaja",0
"203","Afropavo congensis",3
"204","Agamia agami",1
"205","Agapornis canus",0
"206","Agapornis fischeri",7
"207","Agapornis lilianae",1
"208","Agapornis nigrigenis",2
"209","Agapornis personatus",1
"210","Agapornis pullarius",0
"211","Agapornis roseicollis",9
"212","Agapornis swindernianus",0
"213","Agapornis taranta",0
"214","Agelaioides badius",1
"215","Agelaius assimilis",0
"216","Agelaius humeralis",0
"217","Agelaius phoeniceus",132
"218","Agelaius tricolor",8
"219","Agelaius xanthomus",0
"220","Agelastes meleagrides",0
"221","Agelastes niger",0
"222","Agelasticus cyanopus",0
"223","Agelasticus thilius",0
"224","Agelasticus xanthophthalmus",0
"225","Aglaeactis aliciae",0
"226","Aglaeactis castelnaudii",0
"227","Aglaeactis cupripennis",0
"228","Aglaeactis pamela",0
"229","Aglaiocercus berlepschi",0
"230","Aglaiocercus coelestis",1
"231","Aglaiocercus kingi",0
"232","Agriornis albicauda",0
"233","Agriornis lividus",0
"234","Agriornis micropterus",0
"235","Agriornis montanus",0
"236","Agriornis murinus",0
"237","Ailuroedus buccoides",0
"238","Ailuroedus crassirostris",0
"239","Ailuroedus melanotis",0
"240","Aimophila aestivalis",1
"241","Aimophila botterii",1
"242","Aimophila carpalis",8
"243","Aimophila cassinii",2
"244","Aimophila humeralis",0
"245","Aimophila mystacalis",0
"246","Aimophila notosticta",0
"247","Aimophila quinquestriata",0
"248","Aimophila rufescens",0
"249","Aimophila ruficauda",1
"250","Aimophila ruficeps",4
"251","Aimophila stolzmanni",0
"252","Aimophila strigiceps",0
"253","Aimophila sumichrasti",0
"254","Aix galericulata",14
"255","Aix sponsa",65
"256","Alaemon alaudipes",0
"257","Alaemon hamertoni",0
"258","Alauda arvensis",6
"259","Alauda gulgula",1
"260","Alauda japonica",0
"261","Alauda razae",4
"262","Alca torda",39
"263","Alcedo argentata",0
"264","Alcedo atthis",14
"265","Alcedo azurea",0
"266","Alcedo coerulescens",0
"267","Alcedo cristata",0
"268","Alcedo cyanopectus",0
"269","Alcedo euryzona",0
"270","Alcedo hercules",1
"271","Alcedo leucogaster",0
"272","Alcedo meninting",0
"273","Alcedo pusilla",0
