"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","prop","id","id2"
"39",39,0.961187681598464,0.809270994582043,0.993421052631579,0.147058823529412,216,5000,2,0.1,5,5,0.8,"5000 2 0.1 5","4"
"40",40,0.95242259619496,0.819949690402477,0.998355263157895,0.176470588235294,115,5000,2,0.1,5,5,0.9,"5000 2 0.1 5","4"
"41",41,0.97400854165532,0.888733617057316,0.995871180842279,0.333333333333333,1332,5000,3,0.01,4,1,0.8,"5000 3 0.01 4","5"
"42",42,0.983251729550661,0.836565752128666,0.995033112582781,0.285714285714286,2155,5000,3,0.01,4,1,0.9,"5000 3 0.01 4","5"
"43",43,0.975838799019791,0.881356185690357,0.994137353433836,0.25,1459,5000,3,0.01,4,2,0.8,"5000 3 0.01 4","5"
"44",44,0.980656587840231,0.846897064288369,0.994983277591973,0.296296296296296,1838,5000,3,0.01,4,2,0.9,"5000 3 0.01 4","5"
"45",45,0.978263978263978,0.864993401558726,0.995069843878389,0.242424242424242,1928,5000,3,0.01,4,3,0.8,"5000 3 0.01 4","5"
"46",46,0.978453715712114,0.902276422764228,0.995121951219512,0.2,1931,5000,3,0.01,4,3,0.9,"5000 3 0.01 4","5"
"47",47,0.979078439591253,0.896316666666667,0.995,0.26,1588,5000,3,0.01,4,4,0.8,"5000 3 0.01 4","5"
"48",48,0.982143385267649,0.876880351770424,0.996644295302013,0.241379310344828,1845,5000,3,0.01,4,4,0.9,"5000 3 0.01 4","5"
"49",49,0.977602303232397,0.857899574303406,0.996710526315789,0.147058823529412,1715,5000,3,0.01,4,5,0.8,"5000 3 0.01 4","5"
"50",50,0.977672957390212,0.834171826625387,0.995065789473684,0.176470588235294,1503,5000,3,0.01,4,5,0.9,"5000 3 0.01 4","5"
"51",51,0.969168119020387,0.886806834783713,0.995871180842279,0.333333333333333,1092,5000,3,0.01,5,1,0.8,"5000 3 0.01 5","6"
"52",52,0.982229732767107,0.83719646799117,0.995033112582781,0.285714285714286,2043,5000,3,0.01,5,1,0.9,"5000 3 0.01 5","6"
"53",53,0.97246278721341,0.877602297200287,0.994974874371859,0.232142857142857,1241,5000,3,0.01,5,2,0.8,"5000 3 0.01 5","6"
"54",54,0.980020875544913,0.841508732813081,0.996655518394649,0.296296296296296,1839,5000,3,0.01,5,2,0.9,"5000 3 0.01 5","6"
"55",55,0.974992574992575,0.862179726600433,0.995069843878389,0.242424242424242,1669,5000,3,0.01,5,3,0.8,"5000 3 0.01 5","6"
"56",56,0.976326193364849,0.896422764227642,0.995121951219512,0.2,1944,5000,3,0.01,5,3,0.9,"5000 3 0.01 5","6"
"57",57,0.977147681886289,0.89515,0.994166666666667,0.28,1530,5000,3,0.01,5,4,0.8,"5000 3 0.01 5","6"
"58",58,0.979880421643931,0.871383938903032,0.996644295302013,0.241379310344828,1686,5000,3,0.01,5,4,0.9,"5000 3 0.01 5","6"
"59",59,0.978985436742925,0.85797213622291,0.995065789473684,0.147058823529412,1821,5000,3,0.01,5,5,0.8,"5000 3 0.01 5","6"
"60",60,0.976655759545231,0.837945046439629,0.995065789473684,0.117647058823529,1503,5000,3,0.01,5,5,0.9,"5000 3 0.01 5","6"
"61",61,0.938290284661329,0.875436702026297,0.995871180842279,0.282051282051282,46,5000,3,0.1,4,1,0.8,"5000 3 0.1 4","7"
"62",62,0.970751993306563,0.842715231788079,0.998344370860927,0.19047619047619,134,5000,3,0.1,4,1,0.9,"5000 3 0.1 4","7"
"63",63,0.958167243773355,0.82824090691553,0.996649916247906,0.232142857142857,97,5000,3,0.1,4,2,0.8,"5000 3 0.1 4","7"
"64",64,0.960904166135332,0.873745819397993,0.993311036789298,0.333333333333333,114,5000,3,0.1,4,2,0.9,"5000 3 0.1 4","7"
"65",65,0.961674311674312,0.848011752695401,0.995891536565325,0.212121212121212,149,5000,3,0.1,4,3,0.8,"5000 3 0.1 4","7"
"66",66,0.973547166325008,0.854308943089431,0.99349593495935,0.2,198,5000,3,0.1,4,3,0.9,"5000 3 0.1 4","7"
"67",67,0.954936741488045,0.881208333333333,0.996666666666667,0.22,76,5000,3,0.1,4,4,0.8,"5000 3 0.1 4","7"
"68",68,0.959371598280071,0.8352811849109,0.996644295302013,0.241379310344828,125,5000,3,0.1,4,4,0.9,"5000 3 0.1 4","7"
"69",69,0.959609958561276,0.831329818111455,0.994243421052632,0.147058823529412,119,5000,3,0.1,4,5,0.8,"5000 3 0.1 4","7"
"70",70,0.968983567303841,0.84234713622291,0.995065789473684,0.176470588235294,115,5000,3,0.1,4,5,0.9,"5000 3 0.1 4","7"
"71",71,0.944739075576857,0.874822672510534,0.996696944673823,0.358974358974359,60,5000,3,0.1,5,1,0.8,"5000 3 0.1 5","8"
"72",72,0.965172753235482,0.83640807316304,0.996688741721854,0.19047619047619,121,5000,3,0.1,5,1,0.9,"5000 3 0.1 5","8"
"73",73,0.968899184571931,0.857023211294568,0.995812395309883,0.196428571428571,134,5000,3,0.1,5,2,0.8,"5000 3 0.1 5","8"
"74",74,0.968168100089264,0.871578099838969,0.991638795986622,0.259259259259259,126,5000,3,0.1,5,2,0.9,"5000 3 0.1 5","8"
"75",75,0.967368467368467,0.837827743333084,0.99671322925226,0.242424242424242,161,5000,3,0.1,5,3,0.8,"5000 3 0.1 5","8"
"76",76,0.95791715475045,0.871056910569106,0.995121951219512,0.2,143,5000,3,0.1,5,3,0.9,"5000 3 0.1 5","8"
"77",77,0.968730276882459,0.883316666666667,0.995833333333333,0.22,137,5000,3,0.1,5,4,0.8,"5000 3 0.1 5","8"
"78",78,0.960854163824447,0.843496875723212,0.998322147651007,0.172413793103448,125,5000,3,0.1,5,4,0.9,"5000 3 0.1 5","8"
