"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"34","Accipiter nisus_ACNI03",2,"Accipiter nisus","ACNI03","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"35","Accipiter nisus_ACNI04",2,"Accipiter nisus","ACNI04","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"36","Accipiter nisus_ACNI05",1,"Accipiter nisus","ACNI05","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"37","Accipiter nisus_ACNI06",1,"Accipiter nisus","ACNI06","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"38","Accipiter nisus_ACNI07",1,"Accipiter nisus","ACNI07","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"39","Accipiter nisus_ACNI1",3,"Accipiter nisus","ACNI1","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"40","Accipiter nisus_ASOT06",1,"Accipiter nisus","ASOT06","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"41","Accipiter nisus_BT7",2,"Accipiter nisus","BT7","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"42","Accipiter nisus_BUBIBI01",1,"Accipiter nisus","BUBIBI01","Haemoproteus","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"43","Accipiter nisus_BUTBUT02",1,"Accipiter nisus","BUTBUT02","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"44","Accipiter nisus_CIAE02",2,"Accipiter nisus","CIAE02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"45","Accipiter nisus_EMSPO06",1,"Accipiter nisus","EMSPO06","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"46","Accipiter nisus_MILANS04",1,"Accipiter nisus","MILANS04","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"47","Accipiter nisus_TURDUS1",5,"Accipiter nisus","TURDUS1","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_nisus","yes","Accipiter nisus"
"48","Accipiter soloensis_ACCSOL01",1,"Accipiter soloensis","ACCSOL01","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_soloensis","yes","Accipiter soloensis"
"49","Accipiter striatus_BT7",1,"Accipiter striatus","BT7","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_striatus","yes","Accipiter striatus"
"50","Accipiter tachiro_ACCTAC01",1,"Accipiter tachiro","ACCTAC01","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_tachiro","yes","Accipiter tachiro"
"51","Accipiter tachiro_PLACAS02",1,"Accipiter tachiro","PLACAS02","Plasmodium","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_tachiro","yes","Accipiter tachiro"
"52","Accipiter trivirgatus_ACCTRI01",1,"Accipiter trivirgatus","ACCTRI01","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,NA,NA,"Accipiter trivirgatus"
"53","Accipiter virgatus_CIAE02",1,"Accipiter virgatus","CIAE02","Leucocytozoon","Falconiformes","Accipitridae","Accipiter",0,"Accipiter_virgatus","yes","Accipiter virgatus"
"54","Acridotheres ginginianus_STASTR01",1,"Acridotheres ginginianus","STASTR01","Plasmodium","Passeriformes","Sturnidae","Acridotheres",0,"Acridotheres_ginginianus","yes","Acridotheres ginginianus"
"55","Acridotheres tristis_ACTRI01",1,"Sturnus tristis","ACTRI01","Haemoproteus","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"56","Acridotheres tristis_ACTRI02",1,"Sturnus tristis","ACTRI02","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
