"","species","id","order","family","genus","Pr","Jetz.species","match"
"2405","Cracticus nigrogularis","CRANIG01_Cracticus nigrogularis","Passeriformes","Cracticidae","Cracticus",0,"Cracticus_nigrogularis","yes"
"2406","Cracticus quoyi","CRAQUO01_Cracticus quoyi","Passeriformes","Cracticidae","Cracticus",0,"Cracticus_quoyi","yes"
"2408","Cracticus tibicen","MYNA02_Cracticus tibicen","Passeriformes","Cracticidae","Cracticus",0,"Gymnorhina_tibicen","no"
"2411","Cracticus torquatus","MYNA02_Cracticus torquatus","Passeriformes","Cracticidae","Cracticus",0,"Cracticus_torquatus","yes"
"2412","Cranioleuca albicapilla","CONCIN02_Cranioleuca albicapilla","Passeriformes","Furnariidae","Cranioleuca",0,NA,NA
"2414","Cranioleuca antisiensis","PHEMEL02_Cranioleuca antisiensis","Passeriformes","Furnariidae","Cranioleuca",0,"Cranioleuca_antisiensis","yes"
"2417","Cranioleuca hellmayri","TROAED02_Cranioleuca hellmayri","Passeriformes","Furnariidae","Cranioleuca",0,NA,NA
"2420","Cranioleuca marcapatae","TROAED20_Cranioleuca marcapatae","Passeriformes","Furnariidae","Cranioleuca",0,NA,NA
"2421","Cranioleuca pyrrhophia","DENPET03_Cranioleuca pyrrhophia","Passeriformes","Furnariidae","Cranioleuca",0,"Cranioleuca_pyrrhophia","yes"
"2422","Cranioleuca vulpina","CRAVUL01_Cranioleuca vulpina","Passeriformes","Furnariidae","Cranioleuca",0,"Cranioleuca_vulpina","yes"
"2423","Crateroscelis murina","OEDILI01_Crateroscelis murina","Passeriformes","Acanthizidae","Crateroscelis",0,"Crateroscelis_murina","yes"
"2425","Crateroscelis robusta","GRW06_Crateroscelis robusta","Passeriformes","Acanthizidae","Crateroscelis",0,"Crateroscelis_robusta","yes"
"2426","Creagrus furcatus","CREFUR01_Creagrus furcatus","Charadriiformes","Laridae","Creagrus",0,"Creagrus_furcatus","yes"
"2428","Creatophora cinerea","CRECRI01_Creatophora cinerea","Passeriformes","Sturnidae","Creatophora",0,"Creatophora_cinerea","yes"
"2429","Creurgops verticalis","ANAPAR01_Creurgops verticalis","Passeriformes","Fringillidae","Creurgops",0,NA,NA
"2434","Crex crex","ACCTAC01_Crex crex","Gruiformes","Rallidae","Crex",0,"Crex_crex","yes"
"2444","Crinifer piscator","CRIPIS01_Crinifer piscator","Musophagiformes","Musophagidae","Crinifer",0,"Crinifer_piscator","yes"
"2445","Criniger bres","ALBRE01_Criniger bres","Passeriformes","Pycnonotidae","Criniger",0,"Alophoixus_bres","no"
"2446","Criniger calurus","GRW09_Criniger calurus","Passeriformes","Pycnonotidae","Criniger",0,"Criniger_calurus","yes"
"2449","Criniger chloronotus","ANLAT04_Criniger chloronotus","Passeriformes","Pycnonotidae","Criniger",0,"Criniger_chloronotus","yes"
"2452","Criniger pallidus","ALBRE01_Criniger pallidus","Passeriformes","Pycnonotidae","Criniger",0,NA,NA
"2455","Crithagra capistrata","CRICAP01_Crithagra capistrata","Passeriformes","Fringillidae","Crithagra",0,"Serinus_capistratus","no"
"2458","Crithagra mozambica","SYBOR09_Crithagra mozambica","Passeriformes","Fringillidae","Crithagra",0,"Serinus_mozambicus","no"
"2461","Crithagra rufobrunnea","AFR214_Crithagra rufobrunnea","Passeriformes","Fringillidae","Crithagra",0,"Serinus_rufobrunneus","no"
"2471","Crossoptilon crossoptilon","GALLUS02_Crossoptilon crossoptilon","Galliformes","Phasianidae","Crossoptilon",0,"Crossoptilon_crossoptilon","yes"
"2473","Cryptopipo holochlora","LEPCOR02_Cryptopipo holochlora","Passeriformes","Pipridae","Cryptopipo",0,"Xenopipo_holochlora","no"
"2475","Cryptospiza reichenovii","AFR192_Cryptospiza reichenovii","Passeriformes","Estrildidae","Cryptospiza",0,"Cryptospiza_reichenovii","yes"
"2484","Crypturellus obsoletus","ANIFLA01_Crypturellus obsoletus","Tinamiformes","Tinamidae","Crypturellus",0,NA,NA
"2485","Crypturellus undulatus","CRYUND01_Crypturellus undulatus","Tinamiformes","Tinamidae","Crypturellus",0,NA,NA
"2486","Cuculus fugax","CUCFUG01_Cuculus fugax","Cuculiformes","Cuculidae","Cuculus",0,"Cuculus_fugax","yes"
"2487","Cuculus rochii","CUCROC01_Cuculus rochii","Cuculiformes","Cuculidae","Cuculus",0,NA,NA
"2488","Cuculus solitarius","VIMWE1_Cuculus solitarius","Cuculiformes","Cuculidae","Cuculus",0,NA,NA
"2489","Curaeus curaeus","APSPI05_Curaeus curaeus","Passeriformes","Icteridae","Curaeus",0,"Curaeus_curaeus","yes"
"2492","Cyanerpes cyaneus","ARRTAC05_Cyanerpes cyaneus","Passeriformes","Fringillidae","Cyanerpes",0,"Cyanerpes_cyaneus","yes"
"2496","Cyanistes caeruleus","CYACAE03_Cyanistes caeruleus","Passeriformes","Paridae","Cyanistes",0,"Parus_caeruleus","no"
"2564","Cyanistes teneriffae","PARUS11_Cyanistes teneriffae","Passeriformes","Paridae","Cyanistes",0,"Parus_teneriffae","no"
"2582","Cyanocitta cristata","CB1_Cyanocitta cristata","Passeriformes","Corvidae","Cyanocitta",0,NA,NA
"2587","Cyanocitta stelleri","CYASTE04_Cyanocitta stelleri","Passeriformes","Corvidae","Cyanocitta",0,"Cyanocitta_stelleri","yes"
"2595","Cyanocompsa cyanoides","CYACYA05_Cyanocompsa cyanoides","Passeriformes","Fringillidae","Cyanocompsa",0,"Cyanocompsa_cyanoides","yes"
"2603","Cyanocorax cyanomelas","CYACYA06_Cyanocorax cyanomelas","Passeriformes","Corvidae","Cyanocorax",0,NA,NA
"2604","Cyanocorax yncas","PAVER01_Cyanocorax yncas","Passeriformes","Corvidae","Cyanocorax",0,"Cyanocorax_yncas","yes"
"2609","Cyanolanius madagascarinus","FOUMAD03_Cyanolanius madagascarinus","Passeriformes","Vangidae","Cyanolanius",0,NA,NA
"2611","Cyanoloxia brissonii","MOBON01_Cyanoloxia brissonii","Passeriformes","Fringillidae","Cyanoloxia",0,NA,NA
"2612","Cyanomitra cyanolaema","RECOB4_Cyanomitra cyanolaema","Passeriformes","Nectariniidae","Cyanomitra",0,"Nectarinia_cyanolaema","no"
"2614","Cyanomitra obscura","NEOBS04_Cyanomitra obscura","Passeriformes","Nectariniidae","Cyanomitra",0,"Nectarinia_olivacea","no"
"2619","Cyanomitra olivacea","CYAOLI17_Cyanomitra olivacea","Passeriformes","Nectariniidae","Cyanomitra",0,"Nectarinia_olivacea","no"
"2651","Cyanomitra oritis","CYAORI02_Cyanomitra oritis","Passeriformes","Nectariniidae","Cyanomitra",0,"Nectarinia_oritis","no"
"2655","Cyanomitra verticalis","RECOB4_Cyanomitra verticalis","Passeriformes","Nectariniidae","Cyanomitra",0,"Nectarinia_verticalis","no"
"2668","Cyanopica cooki","CYACOO01_Cyanopica cooki","Passeriformes","Corvidae","Cyanopica",0,"Cyanopica_cyanus","no"
"2675","Cyanopica cyanus","CXPIP09_Cyanopica cyanus","Passeriformes","Corvidae","Cyanopica",0,"Cyanopica_cyanus","yes"
"2677","Cyanopsitta spixii","NYCNYC01_Cyanopsitta spixii","Psittaciformes","Psittacidae","Cyanopsitta",0,"Cyanopsitta_spixii","yes"
"2678","Cyanoptila cyanomelana","CYCYA03_Cyanoptila cyanomelana","Passeriformes","Muscicapidae","Cyanoptila",0,"Cyanoptila_cyanomelana","yes"
"2679","Cyanoramphus auriceps","TUPHI01_Cyanoramphus auriceps","Psittaciformes","Psittacidae","Cyanoramphus",0,"Cyanoramphus_auriceps","yes"
"2680","Cyanoramphus novaezelandiae","GRW06_Cyanoramphus novaezelandiae","Psittaciformes","Psittacidae","Cyanoramphus",0,NA,NA
"2683","Cyclarhis gujanensis","DENPET03_Cyclarhis gujanensis","Passeriformes","Vireonidae","Cyclarhis",0,"Cyclarhis_gujanensis","yes"
"2690","Cygnus atratus","NYCNYC01_Cygnus atratus","Anseriformes","Anatidae","Cygnus",0,"Cygnus_atratus","yes"
"2696","Cygnus columbianus","TUSW04_Cygnus columbianus","Anseriformes","Anatidae","Cygnus",0,"Cygnus_columbianus","yes"
"2705","Cygnus cygnus","ANSFAB01_Cygnus cygnus","Anseriformes","Anatidae","Cygnus",0,"Cygnus_cygnus","yes"
"2706","Cygnus melancoryphus","NYCNYC01_Cygnus melancoryphus","Anseriformes","Anatidae","Cygnus",0,"Cygnus_melancoryphus","yes"
"2708","Cygnus olor","MUTSW2_Cygnus olor","Anseriformes","Anatidae","Cygnus",0,"Cygnus_olor","yes"
"2711","Cymbilaimus lineatus","COLPAS04_Cymbilaimus lineatus","Passeriformes","Thamnophilidae","Cymbilaimus",0,NA,NA
"2712","Cymbilaimus sanctaemariae","CYMSAN01_Cymbilaimus sanctaemariae","Passeriformes","Thamnophilidae","Cymbilaimus",0,"Cymbilaimus_sanctaemariae","yes"
"2713","Cyornis banyumas","ZOOLUN01_Cyornis banyumas","Passeriformes","Muscicapidae","Cyornis",0,NA,NA
"2716","Cyornis concretus","COLL2_Cyornis concretus","Passeriformes","Muscicapidae","Cyornis",0,"Cyornis_concretus","yes"
"2717","Cyornis hainanus","GLBRO02_Cyornis hainanus","Passeriformes","Muscicapidae","Cyornis",0,NA,NA
"2719","Cyornis pallidipes","CYOPAL01_Cyornis pallidipes","Passeriformes","Muscicapidae","Cyornis",0,NA,NA
"2720","Cyphorhinus arada","DENPET03_Cyphorhinus arada","Passeriformes","Certhiidae","Cyphorhinus",0,"Cyphorhinus_arada","yes"
"2722","Cypseloides rutilus","TROAED18_Cypseloides rutilus","Apodiformes","Apodidae","Cypseloides",0,NA,NA
"2723","Cypsnagra hirundinacea","CYPHIR04_Cypsnagra hirundinacea","Passeriformes","Fringillidae","Cypsnagra",0,"Cypsnagra_hirundinacea","yes"
"2728","Dacelo gaudichaud","DACGAU01_Dacelo gaudichaud","Coraciiformes","Alcedinidae","Dacelo",0,NA,NA
"2729","Dacelo novaeguineae","ORW1_Dacelo novaeguineae","Coraciiformes","Alcedinidae","Dacelo",0,"Dacelo_novaeguineae","yes"
"2730","Dacnis cayana","PADOM11_Dacnis cayana","Passeriformes","Fringillidae","Dacnis",0,"Dacnis_cayana","yes"
"2733","Dacnis lineata","PSEGRI01_Dacnis lineata","Passeriformes","Fringillidae","Dacnis",0,NA,NA
"2737","Daptrius americanus","IBYAME01_Daptrius americanus","Falconiformes","Falconidae","Daptrius",0,NA,NA
"2738","Deconychura longicauda","HELAUR01_Deconychura longicauda","Passeriformes","Dendrocolaptidae","Deconychura",0,"Deconychura_longicauda","yes"
"2740","Deleornis fraseri","GRW09_Deleornis fraseri","Passeriformes","Nectariniidae","Deleornis",0,"Anthreptes_fraseri","no"
"2744","Delichon dasypus","GRW11_Delichon dasypus","Passeriformes","Hirundinidae","Delichon",1,"Delichon_dasypus","yes"
"2745","Delichon urbicum","BLUTI10_Delichon urbicum","Passeriformes","Hirundinidae","Delichon",0,"Delichon_urbicum","yes"
"2770","Delothraupis castaneoventris","COECOE05_Delothraupis castaneoventris","Passeriformes","Fringillidae","Delothraupis",0,NA,NA
"2773","Dendragapus fuliginosus","AKGPH05_Dendragapus fuliginosus","Galliformes","Phasianidae","Dendragapus",0,NA,NA
"2776","Dendrocincla fuliginosa","DENFUL03_Dendrocincla fuliginosa","Passeriformes","Dendrocolaptidae","Dendrocincla",0,"Dendrocincla_fuliginosa","yes"
"2782","Dendrocincla merula","TACCRI02_Dendrocincla merula","Passeriformes","Dendrocolaptidae","Dendrocincla",0,"Dendrocincla_merula","yes"
"2787","Dendrocincla turdina","DETUR01_Dendrocincla turdina","Passeriformes","Dendrocolaptidae","Dendrocincla",0,"Dendrocincla_turdina","yes"
"2788","Dendrocitta formosae","DEFOR01_Dendrocitta formosae","Passeriformes","Corvidae","Dendrocitta",0,NA,NA
"2789","Dendrocitta vagabunda","DENVAG01_Dendrocitta vagabunda","Passeriformes","Corvidae","Dendrocitta",0,"Dendrocitta_vagabunda","yes"
"2792","Dendrocolaptes certhia","DENCER01_Dendrocolaptes certhia","Passeriformes","Dendrocolaptidae","Dendrocolaptes",0,"Dendrocolaptes_certhia","yes"
"2795","Dendrocolaptes platyrostris","PISUL01_Dendrocolaptes platyrostris","Passeriformes","Dendrocolaptidae","Dendrocolaptes",0,"Dendrocolaptes_platyrostris","yes"
"2797","Dendrocopos major","SFC8_Dendrocopos major","Piciformes","Picidae","Dendrocopos",0,NA,NA
"2798","Dendrocopos minor","CIAE02_Dendrocopos minor","Piciformes","Picidae","Dendrocopos",0,"Dendrocopos_minor","yes"
"2799","Dendrocopos syriacus","SISKIN1_Dendrocopos syriacus","Piciformes","Picidae","Dendrocopos",0,NA,NA
"2800","Dendrocygna autumnalis","DENAUT01_Dendrocygna autumnalis","Anseriformes","Anatidae","Dendrocygna",0,"Dendrocygna_autumnalis","yes"
"2801","Dendrocygna javanica","FANTAIL01_Dendrocygna javanica","Anseriformes","Anatidae","Dendrocygna",0,"Dendrocygna_javanica","yes"
"2803","Dendrocygna viduata","DENVID02_Dendrocygna viduata","Anseriformes","Anatidae","Dendrocygna",0,"Dendrocygna_viduata","yes"
"2806","Dendroica adelaidae","GEOTRI04_Dendroica adelaidae","Passeriformes","Parulidae","Dendroica",0,"Dendroica_adelaidae","yes"
"2807","Dendroica caerulescens","DENCOR01_Dendroica caerulescens","Passeriformes","Parulidae","Dendroica",0,"Dendroica_caerulescens","yes"
"2809","Dendroica coronata","SETCOR09_Dendroica coronata","Passeriformes","Parulidae","Dendroica",0,"Dendroica_coronata","yes"
"2898","Dendroica discolor","DENDIS01_Dendroica discolor","Passeriformes","Parulidae","Dendroica",0,"Dendroica_discolor","yes"
"2899","Dendroica dominica","TABI02_Dendroica dominica","Passeriformes","Parulidae","Dendroica",0,"Dendroica_dominica","yes"
"2900","Dendroica fusca","TABI05_Dendroica fusca","Passeriformes","Parulidae","Dendroica",0,"Dendroica_fusca","yes"
"2901","Dendroica magnolia","DENMAG01_Dendroica magnolia","Passeriformes","Parulidae","Dendroica",0,"Dendroica_magnolia","yes"
"2903","Dendroica nigrescens","TABI02_Dendroica nigrescens","Passeriformes","Parulidae","Dendroica",0,"Dendroica_nigrescens","yes"
"2907","Dendroica palmarum","GEOTRI01_Dendroica palmarum","Passeriformes","Parulidae","Dendroica",0,NA,NA
"2911","Dendroica pensylvanica","DENPEN02_Dendroica pensylvanica","Passeriformes","Parulidae","Dendroica",0,"Dendroica_pensylvanica","yes"
"2915","Dendroica plumbea","PADOM09_Dendroica plumbea","Passeriformes","Parulidae","Dendroica",0,NA,NA
"2925","Dendroica townsendi","CB1_Dendroica townsendi","Passeriformes","Parulidae","Dendroica",0,NA,NA
"2928","Dendroica virens","WW3_Dendroica virens","Passeriformes","Parulidae","Dendroica",0,NA,NA
"2929","Dendropicos fuscescens","PSEGRI01_Dendropicos fuscescens","Piciformes","Picidae","Dendropicos",0,"Dendropicos_fuscescens","yes"
"2930","Dicaeum trigonostigma","DICTRI01_Dicaeum trigonostigma","Passeriformes","Dicaeidae","Dicaeum",0,"Dicaeum_trigonostigma","yes"
"2931","Dichrozona cincta","THAMAE01_Dichrozona cincta","Passeriformes","Thamnophilidae","Dichrozona",0,"Dichrozona_cincta","yes"
"2933","Dicrurus adsimilis","GRW09_Dicrurus adsimilis","Passeriformes","Dicruridae","Dicrurus",0,"Dicrurus_adsimilis","yes"
"2937","Dicrurus balicassius","DICBAL05_Dicrurus balicassius","Passeriformes","Dicruridae","Dicrurus",0,"Dicrurus_balicassius","yes"
"2944","Dicrurus leucophaeus","STASTR01_Dicrurus leucophaeus","Passeriformes","Dicruridae","Dicrurus",0,"Dicrurus_leucophaeus","yes"
"2948","Diglossa albilatera","DIGLAF01_Diglossa albilatera","Passeriformes","Fringillidae","Diglossa",0,"Diglossa_albilatera","yes"
"2954","Diglossa brunneiventris","ZOCAP17_Diglossa brunneiventris","Passeriformes","Fringillidae","Diglossa",0,NA,NA
"2961","Diglossa cyanea","TROAED20_Diglossa cyanea","Passeriformes","Fringillidae","Diglossa",0,"Diglossa_cyanea","yes"
"2985","Diglossa humeralis","DIGLAF01_Diglossa humeralis","Passeriformes","Fringillidae","Diglossa",0,"Diglossa_humeralis","yes"
"2990","Diglossa lafresnayii","DIGLAF02_Diglossa lafresnayii","Passeriformes","Fringillidae","Diglossa",0,"Diglossa_lafresnayii","yes"
"2992","Diglossa mystacalis","DIGCAE01_Diglossa mystacalis","Passeriformes","Fringillidae","Diglossa",0,NA,NA
"2995","Diglossa sittoides","ZOCAP14_Diglossa sittoides","Passeriformes","Fringillidae","Diglossa",0,NA,NA
"3000","Diglossopis caerulescens","WW3_Diglossopis caerulescens","Passeriformes","Fringillidae","Diglossopis",0,"Diglossa_caerulescens","no"
"3005","Diglossopis glauca","DIGLAF01_Diglossopis glauca","Passeriformes","Fringillidae","Diglossopis",0,NA,NA
"3008","Dinemellia dinemelli","SYBOR10_Dinemellia dinemelli","Passeriformes","Ploceidae","Dinemellia",0,NA,NA
"3009","Diopsittaca nobilis","DENPET03_Diopsittaca nobilis","Psittaciformes","Psittacidae","Diopsittaca",0,"Diopsittaca_nobilis","yes"
"3010","Diphyllodes magnificus","SIAMEX01_Diphyllodes magnificus","Passeriformes","Paradisaeidae","Diphyllodes",0,"Cicinnurus_magnificus","no"
"3011","Diuca diuca","DIUDIU05_Diuca diuca","Passeriformes","Fringillidae","Diuca",0,"Diuca_diuca","yes"
"3028","Diuca speculifera","ASTHUM01_Diuca speculifera","Passeriformes","Fringillidae","Diuca",0,NA,NA
"3029","Dixiphia pipra","THACAE08_Dixiphia pipra","Passeriformes","Pipridae","Dixiphia",0,"Pipra_pipra","no"
"3032","Dolichonyx oryzivorus","ICTLEU01_Dolichonyx oryzivorus","Passeriformes","Icteridae","Dolichonyx",0,"Dolichonyx_oryzivorus","yes"
"3051","Dolospingus fringilloides","DOLFRI01_Dolospingus fringilloides","Passeriformes","Fringillidae","Dolospingus",0,"Dolospingus_fringilloides","yes"
"3052","Donacobius atricapilla","GRW06_Donacobius atricapilla","Passeriformes","Mimidae","Donacobius",0,"Donacobius_atricapilla","yes"
"3054","Donacospiza albifrons","TURMIG02_Donacospiza albifrons","Passeriformes","Fringillidae","Donacospiza",0,NA,NA
"3055","Doryfera ludoviciae","THRCYA01_Doryfera ludoviciae","Trochiliformes","Trochilidae","Doryfera",0,NA,NA
"3059","Drymophila caudata","TROAED20_Drymophila caudata","Passeriformes","Thamnophilidae","Drymophila",0,NA,NA
"3065","Drymophila squamata","FOSER01_Drymophila squamata","Passeriformes","Thamnophilidae","Drymophila",0,"Drymophila_squamata","yes"
"3066","Dryocopus lineatus","VOLJAC02_Dryocopus lineatus","Piciformes","Picidae","Dryocopus",0,"Dryocopus_lineatus","yes"
"3067","Dryocopus martius","CIAE02_Dryocopus martius","Piciformes","Picidae","Dryocopus",0,NA,NA
"3068","Dubusia taeniata","TROAED02_Dubusia taeniata","Passeriformes","Fringillidae","Dubusia",0,NA,NA
"3071","Dumetella carolinensis","DUMCAR02_Dumetella carolinensis","Passeriformes","Mimidae","Dumetella",0,"Dumetella_carolinensis","yes"
"3096","Dyaphorophyia castanea","ACCTAC01_Dyaphorophyia castanea","Passeriformes","Undefined bird family","Dyaphorophyia",0,"Platysteira_castanea","no"
"3100","Dysithamnus mentalis","DYSMEN04_Dysithamnus mentalis","Passeriformes","Thamnophilidae","Dysithamnus",0,"Dysithamnus_mentalis","yes"
"3112","Dysithamnus plumbeus","PYLEU01_Dysithamnus plumbeus","Passeriformes","Thamnophilidae","Dysithamnus",0,"Dysithamnus_plumbeus","yes"
"3113","Egretta garzetta","DELURB5_Egretta garzetta","Ciconiiformes","Ardeidae","Egretta",0,"Egretta_garzetta","yes"
"3114","Elaenia albiceps","COLL4_Elaenia albiceps","Passeriformes","Tyrannidae","Elaenia",0,"Elaenia_albiceps","yes"
"3148","Elaenia chilensis","AUTINF04_Elaenia chilensis","Passeriformes","Tyrannidae","Elaenia",0,NA,NA
"3156","Elaenia chiriquensis","MYISWA01_Elaenia chiriquensis","Passeriformes","Tyrannidae","Elaenia",0,"Elaenia_chiriquensis","yes"
"3157","Elaenia cristata","TSUB01_Elaenia cristata","Passeriformes","Tyrannidae","Elaenia",0,"Elaenia_cristata","yes"
"3159","Elaenia flavogaster","ELFLA01_Elaenia flavogaster","Passeriformes","Tyrannidae","Elaenia",0,"Elaenia_flavogaster","yes"
"3161","Elaenia frantzii","ARBRU02_Elaenia frantzii","Passeriformes","Tyrannidae","Elaenia",0,NA,NA
"3165","Elaenia martinica","FRAG23_Elaenia martinica","Passeriformes","Tyrannidae","Elaenia",0,NA,NA
"3174","Elaenia mesoleuca","PSABIF01_Elaenia mesoleuca","Passeriformes","Tyrannidae","Elaenia",0,NA,NA
"3177","Elaenia pallatangae","TROAED20_Elaenia pallatangae","Passeriformes","Tyrannidae","Elaenia",0,"Elaenia_pallatangae","yes"
"3178","Elaenia parvirostris","LEPCOR03_Elaenia parvirostris","Passeriformes","Tyrannidae","Elaenia",0,"Elaenia_parvirostris","yes"
"3180","Elaenia spectabilis","ELASPE01_Elaenia spectabilis","Passeriformes","Tyrannidae","Elaenia",0,NA,NA
"3183","Electron platyrhynchum","TROAED20_Electron platyrhynchum","Coraciiformes","Momotidae","Electron",0,NA,NA
"3184","Elminia albonotata","AFR234_Elminia albonotata","Passeriformes","Stenostiridae","Elminia",0,"Elminia_albonotata","yes"
"3189","Elminia nigromitrata","ALCLEU02_Elminia nigromitrata","Passeriformes","Stenostiridae","Elminia",0,"Elminia_nigromitrata","yes"
"3190","Emberiza bruniceps","GRBRU01_Emberiza bruniceps","Passeriformes","Fringillidae","Emberiza",0,NA,NA
"3192","Emberiza buchanani","EMBUC01_Emberiza buchanani","Passeriformes","Fringillidae","Emberiza",0,NA,NA
"3194","Emberiza cabanisi","AFR090_Emberiza cabanisi","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_cabanisi","yes"
"3195","Emberiza calandra","SGS1_Emberiza calandra","Passeriformes","Fringillidae","Emberiza",1,"Miliaria_calandra","no"
"3196","Emberiza cia","COLL1_Emberiza cia","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_cia","yes"
"3198","Emberiza cioides","EMSPO01_Emberiza cioides","Passeriformes","Fringillidae","Emberiza",0,NA,NA
"3199","Emberiza cirlus","GRW11_Emberiza cirlus","Passeriformes","Fringillidae","Emberiza",1,"Emberiza_cirlus","yes"
"3208","Emberiza citrinella","EMCIT01_Emberiza citrinella","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_citrinella","yes"
"3220","Emberiza elegans","ACAED02_Emberiza elegans","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_elegans","yes"
"3225","Emberiza flaviventris","AFR047_Emberiza flaviventris","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_flaviventris","yes"
"3227","Emberiza godlewskii","FIPAR02_Emberiza godlewskii","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_godlewskii","yes"
"3246","Emberiza hortulana","GOLDF01_Emberiza hortulana","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_hortulana","yes"
"3249","Emberiza melanocephala","AEDVEX01_Emberiza melanocephala","Passeriformes","Fringillidae","Emberiza",0,NA,NA
"3253","Emberiza pusilla","ACAED02_Emberiza pusilla","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_pusilla","yes"
"3258","Emberiza rustica","EMSPO05_Emberiza rustica","Passeriformes","Fringillidae","Emberiza",0,NA,NA
"3259","Emberiza rutila","SYBOR02_Emberiza rutila","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_rutila","yes"
"3261","Emberiza schoeniclus","EMSCH01_Emberiza schoeniclus","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_schoeniclus","yes"
"3272","Emberiza spodocephala","EMSPO01_Emberiza spodocephala","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_spodocephala","yes"
"3280","Emberiza tahapisi","SGS1_Emberiza tahapisi","Passeriformes","Fringillidae","Emberiza",1,"Emberiza_tahapisi","yes"
"3281","Emberiza tristrami","EMTRI01_Emberiza tristrami","Passeriformes","Fringillidae","Emberiza",0,"Emberiza_tristrami","yes"
"3283","Emberiza variabilis","TRPIP2_Emberiza variabilis","Passeriformes","Fringillidae","Emberiza",0,NA,NA
"3287","Emberizoides herbicola","EMBHER01_Emberizoides herbicola","Passeriformes","Fringillidae","Emberizoides",0,"Emberizoides_herbicola","yes"
"3288","Embernagra platensis","EMBPLA01_Embernagra platensis","Passeriformes","Fringillidae","Embernagra",0,"Embernagra_platensis","yes"
"3289","Empidonax alnorum","EMPALN01_Empidonax alnorum","Passeriformes","Tyrannidae","Empidonax",0,"Empidonax_alnorum","yes"
"3299","Empidonax flaviventris","ACAFLA03_Empidonax flaviventris","Passeriformes","Tyrannidae","Empidonax",0,NA,NA
"3301","Empidonax hammondii","ACAFLA03_Empidonax hammondii","Passeriformes","Tyrannidae","Empidonax",0,"Empidonax_hammondii","yes"
"3309","Empidonax oberholseri","EMPOBE02_Empidonax oberholseri","Passeriformes","Tyrannidae","Empidonax",0,"Empidonax_oberholseri","yes"
"3310","Empidonax occidentalis","ALEDIA01_Empidonax occidentalis","Passeriformes","Tyrannidae","Empidonax",0,NA,NA
"3311","Empidonax virescens","PHEMEL02_Empidonax virescens","Passeriformes","Tyrannidae","Empidonax",0,NA,NA
"3312","Empidonax wrightii","COLBF21_Empidonax wrightii","Passeriformes","Tyrannidae","Empidonax",0,NA,NA
"3314","Empidonomus varius","EMPVAR01_Empidonomus varius","Passeriformes","Tyrannidae","Empidonomus",0,NA,NA
"3315","Enicurus leschenaulti","NILTAV01_Enicurus leschenaulti","Passeriformes","Muscicapidae","Enicurus",0,NA,NA
"3316","Enicurus ruficapillus","ENRUF01_Enicurus ruficapillus","Passeriformes","Muscicapidae","Enicurus",0,"Enicurus_ruficapillus","yes"
"3320","Ensifera ensifera","TROAED20_Ensifera ensifera","Trochiliformes","Trochilidae","Ensifera",0,NA,NA
"3321","Entomodestes leucotis","ENTLEU01_Entomodestes leucotis","Passeriformes","Turdidae","Entomodestes",0,NA,NA
"3323","Entomyzon cyanotis","MYZSAN01_Entomyzon cyanotis","Passeriformes","Meliphagidae","Entomyzon",0,"Entomyzon_cyanotis","yes"
"3324","Eophona personata","EOPER02_Eophona personata","Passeriformes","Fringillidae","Eophona",0,"Eophona_personata","yes"
"3326","Eopsaltria australis","GRW15_Eopsaltria australis","Passeriformes","Petroicidae","Eopsaltria",0,"Eopsaltria_australis","yes"
"3329","Epinecrophylla erythrura","LEPCOR03_Epinecrophylla erythrura","Passeriformes","Thamnophilidae","Epinecrophylla",0,"Epinecrophylla_erythrura","yes"
"3330","Epinecrophylla haematonota","AUTPAR01_Epinecrophylla haematonota","Passeriformes","Thamnophilidae","Epinecrophylla",0,"Epinecrophylla_haematonota","yes"
"3331","Epinecrophylla leucophthalma","VIOLI08_Epinecrophylla leucophthalma","Passeriformes","Thamnophilidae","Epinecrophylla",0,NA,NA
"3332","Epinecrophylla spodionota","SETAUD24_Epinecrophylla spodionota","Passeriformes","Thamnophilidae","Epinecrophylla",0,NA,NA
"3333","Eremomela pusilla","EREPUS01_Eremomela pusilla","Passeriformes","Sylviidae","Eremomela",0,NA,NA
"3334","Eremophila alpestris","SFC8_Eremophila alpestris","Passeriformes","Alaudidae","Eremophila",0,"Eremophila_alpestris","yes"
"3335","Eriocnemis cupreoventris","TROAED20_Eriocnemis cupreoventris","Trochiliformes","Trochilidae","Eriocnemis",0,"Eriocnemis_cupreoventris","yes"
"3336","Eriocnemis derbyi","TROAED20_Eriocnemis derbyi","Trochiliformes","Trochilidae","Eriocnemis",0,"Eriocnemis_derbyi","yes"
