"","species","id","Lineage_Name","parasiteGenus","order","family","genus","record","Pr","Jetz.species","match"
"1506","Catharus guttatus","POEATR01_Catharus guttatus","POEATR01","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_guttatus","yes"
"1507","Catharus minimus","POEATR01_Catharus minimus","POEATR01","Haemoproteus","Passeriformes","Turdidae","Catharus",7,0,"Catharus_minimus","yes"
"1508","Catharus minimus","CATMIN01_Catharus minimus","CATMIN01","Leucocytozoon","Passeriformes","Turdidae","Catharus",12,0,"Catharus_minimus","yes"
"1509","Catharus minimus","CATMIN06_Catharus minimus","CATMIN06","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1510","Catharus minimus","CATMIN02_Catharus minimus","CATMIN02","Leucocytozoon","Passeriformes","Turdidae","Catharus",2,0,"Catharus_minimus","yes"
"1511","Catharus minimus","PHYBOR04_Catharus minimus","PHYBOR04","Haemoproteus","Passeriformes","Turdidae","Catharus",2,0,"Catharus_minimus","yes"
"1512","Catharus minimus","CATUST06_Catharus minimus","CATUST06","Plasmodium","Passeriformes","Turdidae","Catharus",5,0,"Catharus_minimus","yes"
"1513","Catharus minimus","COLL2_Catharus minimus","COLL2","Haemoproteus","Passeriformes","Turdidae","Catharus",2,0,"Catharus_minimus","yes"
"1514","Catharus minimus","CATUST11_Catharus minimus","CATUST11","Leucocytozoon","Passeriformes","Turdidae","Catharus",7,0,"Catharus_minimus","yes"
"1515","Catharus minimus","BT7_Catharus minimus","BT7","Plasmodium","Passeriformes","Turdidae","Catharus",9,0,"Catharus_minimus","yes"
"1516","Catharus minimus","CATUST09_Catharus minimus","CATUST09","Leucocytozoon","Passeriformes","Turdidae","Catharus",9,0,"Catharus_minimus","yes"
"1517","Catharus minimus","CATUST05_Catharus minimus","CATUST05","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1518","Catharus minimus","CATMIN05_Catharus minimus","CATMIN05","Leucocytozoon","Passeriformes","Turdidae","Catharus",3,0,"Catharus_minimus","yes"
"1519","Catharus minimus","CATMIN04_Catharus minimus","CATMIN04","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1520","Catharus minimus","CATMIN09_Catharus minimus","CATMIN09","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1521","Catharus minimus","APSPI03_Catharus minimus","APSPI03","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1522","Catharus minimus","TUPHI01_Catharus minimus","TUPHI01","Haemoproteus","Passeriformes","Turdidae","Catharus",3,0,"Catharus_minimus","yes"
"1523","Catharus minimus","CATGUT02_Catharus minimus","CATGUT02","Leucocytozoon","Passeriformes","Turdidae","Catharus",8,0,"Catharus_minimus","yes"
"1524","Catharus minimus","CATMIN10_Catharus minimus","CATMIN10","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1525","Catharus minimus","POEHUD01_Catharus minimus","POEHUD01","Leucocytozoon","Passeriformes","Turdidae","Catharus",7,0,"Catharus_minimus","yes"
"1526","Catharus minimus","PADOM11_Catharus minimus","PADOM11","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1527","Catharus minimus","SEIAUR01_Catharus minimus","SEIAUR01","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1528","Catharus minimus","CATMIN03_Catharus minimus","CATMIN03","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1529","Catharus minimus","GEOTRI09_Catharus minimus","GEOTRI09","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1530","Catharus minimus","CATUST08_Catharus minimus","CATUST08","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1531","Catharus minimus","HYLMUS02_Catharus minimus","HYLMUS02","Leucocytozoon","Passeriformes","Turdidae","Catharus",7,0,"Catharus_minimus","yes"
"1532","Catharus minimus","CATUST22_Catharus minimus","CATUST22","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_minimus","yes"
"1533","Catharus occidentalis","CATOCC01_Catharus occidentalis","CATOCC01","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,NA,NA
"1534","Catharus occidentalis","ALEDIA01_Catharus occidentalis","ALEDIA01","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,NA,NA
"1535","Catharus occidentalis","CATOCC02_Catharus occidentalis","CATOCC02","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,NA,NA
"1536","Catharus occidentalis","CATOCC03_Catharus occidentalis","CATOCC03","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,NA,NA
"1537","Catharus ustulatus","CATMIN05_Catharus ustulatus","CATMIN05","Leucocytozoon","Passeriformes","Turdidae","Catharus",4,0,"Catharus_ustulatus","yes"
"1538","Catharus ustulatus","ZOLEU01_Catharus ustulatus","ZOLEU01","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1539","Catharus ustulatus","CATUST39_Catharus ustulatus","CATUST39","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1540","Catharus ustulatus","CATUST26_Catharus ustulatus","CATUST26","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1541","Catharus ustulatus","CATUST15_Catharus ustulatus","CATUST15","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1542","Catharus ustulatus","CATUST05_Catharus ustulatus","CATUST05","Plasmodium","Passeriformes","Turdidae","Catharus",3,0,"Catharus_ustulatus","yes"
"1543","Catharus ustulatus","CATUST19_Catharus ustulatus","CATUST19","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1544","Catharus ustulatus","CATMIN02_Catharus ustulatus","CATMIN02","Leucocytozoon","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1545","Catharus ustulatus","CATUST25_Catharus ustulatus","CATUST25","Leucocytozoon","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1546","Catharus ustulatus","CATUST28_Catharus ustulatus","CATUST28","Leucocytozoon","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1547","Catharus ustulatus","CATUST23_Catharus ustulatus","CATUST23","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1548","Catharus ustulatus","CATUST20_Catharus ustulatus","CATUST20","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1549","Catharus ustulatus","CATUST17_Catharus ustulatus","CATUST17","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1550","Catharus ustulatus","CATUST01_Catharus ustulatus","CATUST01","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1551","Catharus ustulatus","CATUST29_Catharus ustulatus","CATUST29","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1552","Catharus ustulatus","CATUST18_Catharus ustulatus","CATUST18","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1553","Catharus ustulatus","NILSUN01_Catharus ustulatus","NILSUN01","Plasmodium","Passeriformes","Turdidae","Catharus",3,0,"Catharus_ustulatus","yes"
"1554","Catharus ustulatus","LAIRI01_Catharus ustulatus","LAIRI01","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1555","Catharus ustulatus","CATUST43_Catharus ustulatus","CATUST43","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1556","Catharus ustulatus","CATUST22_Catharus ustulatus","CATUST22","Haemoproteus","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1557","Catharus ustulatus","CATUST06_Catharus ustulatus","CATUST06","Plasmodium","Passeriformes","Turdidae","Catharus",6,0,"Catharus_ustulatus","yes"
"1558","Catharus ustulatus","POEHUD01_Catharus ustulatus","POEHUD01","Leucocytozoon","Passeriformes","Turdidae","Catharus",3,0,"Catharus_ustulatus","yes"
"1559","Catharus ustulatus","CATUST38_Catharus ustulatus","CATUST38","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1560","Catharus ustulatus","CATUST16_Catharus ustulatus","CATUST16","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1561","Catharus ustulatus","PADOM11_Catharus ustulatus","PADOM11","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1562","Catharus ustulatus","CATUST37_Catharus ustulatus","CATUST37","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1563","Catharus ustulatus","CATUST34_Catharus ustulatus","CATUST34","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1564","Catharus ustulatus","CATUST04_Catharus ustulatus","CATUST04","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1565","Catharus ustulatus","CATUST02_Catharus ustulatus","CATUST02","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1566","Catharus ustulatus","CORMAC02_Catharus ustulatus","CORMAC02","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1567","Catharus ustulatus","CATUST07_Catharus ustulatus","CATUST07","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1568","Catharus ustulatus","GEOTRI01_Catharus ustulatus","GEOTRI01","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1569","Catharus ustulatus","COLL2_Catharus ustulatus","COLL2","Haemoproteus","Passeriformes","Turdidae","Catharus",4,0,"Catharus_ustulatus","yes"
"1570","Catharus ustulatus","CATUST27_Catharus ustulatus","CATUST27","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1571","Catharus ustulatus","POEATR01_Catharus ustulatus","POEATR01","Haemoproteus","Passeriformes","Turdidae","Catharus",5,0,"Catharus_ustulatus","yes"
"1572","Catharus ustulatus","CATUST12_Catharus ustulatus","CATUST12","Leucocytozoon","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1573","Catharus ustulatus","CATUST36_Catharus ustulatus","CATUST36","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1574","Catharus ustulatus","BT7_Catharus ustulatus","BT7","Plasmodium","Passeriformes","Turdidae","Catharus",7,0,"Catharus_ustulatus","yes"
"1575","Catharus ustulatus","CATUST08_Catharus ustulatus","CATUST08","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1576","Catharus ustulatus","CATUST03_Catharus ustulatus","CATUST03","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1577","Catharus ustulatus","CATUST13_Catharus ustulatus","CATUST13","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1578","Catharus ustulatus","TUMIG03_Catharus ustulatus","TUMIG03","Plasmodium","Passeriformes","Turdidae","Catharus",3,0,"Catharus_ustulatus","yes"
"1579","Catharus ustulatus","CATUST11_Catharus ustulatus","CATUST11","Leucocytozoon","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1580","Catharus ustulatus","CATUST24_Catharus ustulatus","CATUST24","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1581","Catharus ustulatus","HYLMUS02_Catharus ustulatus","HYLMUS02","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1582","Catharus ustulatus","CATUST35_Catharus ustulatus","CATUST35","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1583","Catharus ustulatus","CATUST09_Catharus ustulatus","CATUST09","Leucocytozoon","Passeriformes","Turdidae","Catharus",5,0,"Catharus_ustulatus","yes"
"1584","Catharus ustulatus","CATUST14_Catharus ustulatus","CATUST14","Leucocytozoon","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1585","Catharus ustulatus","CATUST21_Catharus ustulatus","CATUST21","Plasmodium","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1586","Catharus ustulatus","SPIARB01_Catharus ustulatus","SPIARB01","Haemoproteus","Passeriformes","Turdidae","Catharus",2,0,"Catharus_ustulatus","yes"
"1587","Catharus ustulatus","CATUST10_Catharus ustulatus","CATUST10","Haemoproteus","Passeriformes","Turdidae","Catharus",1,0,"Catharus_ustulatus","yes"
"1588","Catharus ustulatus","CATMIN01_Catharus ustulatus","CATMIN01","Leucocytozoon","Passeriformes","Turdidae","Catharus",4,0,"Catharus_ustulatus","yes"
"1589","Catherpes mexicanus","VIRHUT02_Catherpes mexicanus","VIRHUT02","Plasmodium","Passeriformes","Certhiidae","Catherpes",1,0,NA,NA
"1590","Celeus flavescens","VOLJAC02_Celeus flavescens","VOLJAC02","Plasmodium","Piciformes","Picidae","Celeus",1,0,"Celeus_flavescens","yes"
"1591","Centropus sinensis","CENSIN01_Centropus sinensis","CENSIN01","Haemoproteus","Cuculiformes","Centropidae","Centropus",1,0,NA,NA
"1592","Centropus superciliosus","AFR061_Centropus superciliosus","AFR061","Haemoproteus","Cuculiformes","Centropidae","Centropus",1,0,"Centropus_superciliosus","yes"
"1593","Centropus superciliosus","BUL07_Centropus superciliosus","BUL07","Plasmodium","Cuculiformes","Centropidae","Centropus",1,0,"Centropus_superciliosus","yes"
"1594","Centropus toulou","CENTO01_Centropus toulou","CENTO01","Leucocytozoon","Cuculiformes","Centropidae","Centropus",1,0,NA,NA
"1595","Ceratogymna atrata","CERATR01_Ceratogymna atrata","CERATR01","Haemoproteus","Bucerotiformes","Bucerotidae","Ceratogymna",1,0,"Ceratogymna_atrata","yes"
"1596","Ceratogymna atrata","CERATR02_Ceratogymna atrata","CERATR02","Haemoproteus","Bucerotiformes","Bucerotidae","Ceratogymna",1,0,"Ceratogymna_atrata","yes"
"1597","Cercomacra cinerascens","CERCIN03_Cercomacra cinerascens","CERCIN03","Plasmodium","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_cinerascens","yes"
"1598","Cercomacra cinerascens","CERCIN01_Cercomacra cinerascens","CERCIN01","Plasmodium","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_cinerascens","yes"
"1599","Cercomacra cinerascens","CERCIN02_Cercomacra cinerascens","CERCIN02","Plasmodium","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_cinerascens","yes"
"1600","Cercomacra cinerascens","CERCIN04_Cercomacra cinerascens","CERCIN04","Haemoproteus","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_cinerascens","yes"
"1601","Cercomacra nigrescens","CERNIG01_Cercomacra nigrescens","CERNIG01","Leucocytozoon","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_nigrescens","yes"
"1602","Cercomacra nigrescens","AUTOCH03_Cercomacra nigrescens","AUTOCH03","Plasmodium","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_nigrescens","yes"
"1603","Cercomacra nigrescens","PADOM11_Cercomacra nigrescens","PADOM11","Plasmodium","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_nigrescens","yes"
"1604","Cercomacra nigrescens","CERCIN02_Cercomacra nigrescens","CERCIN02","Plasmodium","Passeriformes","Formicariidae","Cercomacra",2,0,"Cercomacra_nigrescens","yes"
"1605","Cercomacra serva","CERSER02_Cercomacra serva","CERSER02","Plasmodium","Passeriformes","Formicariidae","Cercomacra",2,0,"Cercomacra_serva","yes"
"1606","Cercomacra serva","CERSER01_Cercomacra serva","CERSER01","Plasmodium","Passeriformes","Formicariidae","Cercomacra",1,0,"Cercomacra_serva","yes"
"1607","Cercomela fusca","GRW04_Cercomela fusca","GRW04","Plasmodium","Passeriformes","Muscicapidae","Cercomela",1,1,"Cercomela_fusca","yes"
"1608","Cercotrichas barbata","COLL11_Cercotrichas barbata","COLL11","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_barbata","no"
"1609","Cercotrichas barbata","AFR065_Cercotrichas barbata","AFR065","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_barbata","no"
"1610","Cercotrichas coryphoeus","SGS1_Cercotrichas coryphoeus","SGS1","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,1,"Erythropygia_coryphaeus","no"
"1611","Cercotrichas galactotes","RTSR1_Cercotrichas galactotes","RTSR1","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_galactotes","no"
"1612","Cercotrichas galactotes","SGS1_Cercotrichas galactotes","SGS1","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",3,1,"Erythropygia_galactotes","no"
"1613","Cercotrichas galactotes","RTSR2_Cercotrichas galactotes","RTSR2","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_galactotes","no"
"1614","Cercotrichas leucophrys","PSEGRI01_Cercotrichas leucophrys","PSEGRI01","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_leucophrys","no"
"1615","Cercotrichas leucophrys","AFR154_Cercotrichas leucophrys","AFR154","Leucocytozoon","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_leucophrys","no"
"1616","Cercotrichas leucophrys","COLL11_Cercotrichas leucophrys","COLL11","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Erythropygia_leucophrys","no"
"1617","Cercotrichas podobe","SGS1_Cercotrichas podobe","SGS1","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,1,"Cercotrichas_podobe","yes"
"1618","Cercotrichas podobe","BSR1_Cercotrichas podobe","BSR1","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Cercotrichas_podobe","yes"
"1619","Cercotrichas podobe","BSR2_Cercotrichas podobe","BSR2","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Cercotrichas_podobe","yes"
"1620","Cercotrichas podobe","RTSR2_Cercotrichas podobe","RTSR2","Plasmodium","Passeriformes","Muscicapidae","Cercotrichas",1,0,"Cercotrichas_podobe","yes"
"1621","Cereopsis novaehollandiae","CERNOV01_Cereopsis novaehollandiae","CERNOV01","Plasmodium","Anseriformes","Anatidae","Cereopsis",1,0,"Cereopsis_novaehollandiae","yes"
"1622","Certhia brachydactyla","PARUS69_Certhia brachydactyla","PARUS69","Leucocytozoon","Passeriformes","Certhiidae","Certhia",1,0,"Certhia_brachydactyla","yes"
"1623","Certhia brachydactyla","CERBRA01_Certhia brachydactyla","CERBRA01","Haemoproteus","Passeriformes","Certhiidae","Certhia",1,0,"Certhia_brachydactyla","yes"
"1624","Certhia brachydactyla","PARUS22_Certhia brachydactyla","PARUS22","Leucocytozoon","Passeriformes","Certhiidae","Certhia",4,0,"Certhia_brachydactyla","yes"
"1625","Certhia brachydactyla","SGS1_Certhia brachydactyla","SGS1","Plasmodium","Passeriformes","Certhiidae","Certhia",5,1,"Certhia_brachydactyla","yes"
"1626","Certhia familiaris","PARUS22_Certhia familiaris","PARUS22","Leucocytozoon","Passeriformes","Certhiidae","Certhia",2,0,"Certhia_familiaris","yes"
"1627","Certhia familiaris","ROBIN1_Certhia familiaris","ROBIN1","Haemoproteus","Passeriformes","Certhiidae","Certhia",1,0,"Certhia_familiaris","yes"
"1628","Certhia familiaris","WW2_Certhia familiaris","WW2","Haemoproteus","Passeriformes","Certhiidae","Certhia",1,0,"Certhia_familiaris","yes"
"1629","Certhia familiaris","BT7_Certhia familiaris","BT7","Plasmodium","Passeriformes","Certhiidae","Certhia",1,0,"Certhia_familiaris","yes"
"1630","Certhia familiaris","SGS1_Certhia familiaris","SGS1","Plasmodium","Passeriformes","Certhiidae","Certhia",1,1,"Certhia_familiaris","yes"
"1631","Cettia cetti","SGS1_Cettia cetti","SGS1","Plasmodium","Passeriformes","Sylviidae","Cettia",9,1,"Cettia_cetti","yes"
"1632","Cettia cetti","SYAT05_Cettia cetti","SYAT05","Plasmodium","Passeriformes","Sylviidae","Cettia",3,0,"Cettia_cetti","yes"
"1633","Cettia cetti","GRW11_Cettia cetti","GRW11","Plasmodium","Passeriformes","Sylviidae","Cettia",3,1,"Cettia_cetti","yes"
"1634","Cettia cetti","CET01_Cettia cetti","CET01","Plasmodium","Passeriformes","Sylviidae","Cettia",1,0,"Cettia_cetti","yes"
"1635","Cettia diphone","HORDIP03_Cettia diphone","HORDIP03","Haemoproteus","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1636","Cettia diphone","FICNAR02_Cettia diphone","FICNAR02","Leucocytozoon","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1637","Cettia diphone","GRW04_Cettia diphone","GRW04","Plasmodium","Passeriformes","Sylviidae","Cettia",1,1,NA,NA
"1638","Cettia diphone","HORDIP01_Cettia diphone","HORDIP01","Leucocytozoon","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1639","Cettia diphone","HORDIP02_Cettia diphone","HORDIP02","Leucocytozoon","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1640","Cettia diphone","PHSIB1_Cettia diphone","PHSIB1","Haemoproteus","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1641","Cettia diphone","PARUS8_Cettia diphone","PARUS8","Leucocytozoon","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1642","Cettia diphone","GRW06_Cettia diphone","GRW06","Plasmodium","Passeriformes","Sylviidae","Cettia",1,0,NA,NA
"1643","Ceyx lecontei","CELEC01_Ceyx lecontei","CELEC01","Haemoproteus","Coraciiformes","Alcedinidae","Ceyx",1,0,"Ceyx_lecontei","yes"
"1644","Chaetocercus mulsant","ARBRU02_Chaetocercus mulsant","ARBRU02","Haemoproteus","Trochiliformes","Trochilidae","Chaetocercus",1,0,NA,NA
"1645","Chaetocercus mulsant","PHEMEL02_Chaetocercus mulsant","PHEMEL02","Haemoproteus","Trochiliformes","Trochilidae","Chaetocercus",1,0,NA,NA
"1646","Chaetocercus mulsant","ZOCAP14_Chaetocercus mulsant","ZOCAP14","Haemoproteus","Trochiliformes","Trochilidae","Chaetocercus",1,0,NA,NA
"1647","Chaetura spinicaudus","CHASPI01_Chaetura spinicaudus","CHASPI01","Haemoproteus","Apodiformes","Apodidae","Chaetura",1,0,"Chaetura_spinicaudus","yes"
"1648","Chalcomitra amethystina","CHAAM01_Chalcomitra amethystina","CHAAM01","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",2,0,"Nectarinia_amethystina","no"
"1649","Chalcomitra amethystina","AFR164_Chalcomitra amethystina","AFR164","Leucocytozoon","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_amethystina","no"
"1650","Chalcomitra amethystina","AFR085_Chalcomitra amethystina","AFR085","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_amethystina","no"
"1651","Chalcomitra amethystina","CYAOLI04_Chalcomitra amethystina","CYAOLI04","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_amethystina","no"
"1652","Chalcomitra fuliginosa","CHAFUL01_Chalcomitra fuliginosa","CHAFUL01","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_fuliginosa","no"
"1653","Chalcomitra rubescens","GRW09_Chalcomitra rubescens","GRW09","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",2,0,"Nectarinia_rubescens","no"
"1654","Chalcomitra senegalensis","CHASEN05_Chalcomitra senegalensis","CHASEN05","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1655","Chalcomitra senegalensis","REB11_Chalcomitra senegalensis","REB11","Leucocytozoon","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1656","Chalcomitra senegalensis","VASUN1_Chalcomitra senegalensis","VASUN1","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1657","Chalcomitra senegalensis","CYAOLI04_Chalcomitra senegalensis","CYAOLI04","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",2,0,"Nectarinia_senegalensis","no"
"1658","Chalcomitra senegalensis","AFR078_Chalcomitra senegalensis","AFR078","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1659","Chalcomitra senegalensis","RECOB4_Chalcomitra senegalensis","RECOB4","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",2,0,"Nectarinia_senegalensis","no"
"1660","Chalcomitra senegalensis","CHASEN03_Chalcomitra senegalensis","CHASEN03","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1661","Chalcomitra senegalensis","CHASEN07_Chalcomitra senegalensis","CHASEN07","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1662","Chalcomitra senegalensis","CHASEN04_Chalcomitra senegalensis","CHASEN04","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1663","Chalcomitra senegalensis","CHASEN06_Chalcomitra senegalensis","CHASEN06","Leucocytozoon","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1664","Chalcomitra senegalensis","ANAHAR03_Chalcomitra senegalensis","ANAHAR03","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1665","Chalcomitra senegalensis","LAMPUR03_Chalcomitra senegalensis","LAMPUR03","Plasmodium","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1666","Chalcomitra senegalensis","REB6_Chalcomitra senegalensis","REB6","Leucocytozoon","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1667","Chalcomitra senegalensis","CHASEN02_Chalcomitra senegalensis","CHASEN02","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1668","Chalcomitra senegalensis","YMWD1_Chalcomitra senegalensis","YMWD1","Leucocytozoon","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1669","Chalcomitra senegalensis","CHASEN01_Chalcomitra senegalensis","CHASEN01","Haemoproteus","Passeriformes","Nectariniidae","Chalcomitra",1,0,"Nectarinia_senegalensis","no"
"1670","Chalcophaps indica","MYZCAR06_Chalcophaps indica","MYZCAR06","Haemoproteus","Columbiformes","Columbidae","Chalcophaps",1,0,"Chalcophaps_indica","yes"
"1671","Chalcophaps indica","CHAIND01_Chalcophaps indica","CHAIND01","Plasmodium","Columbiformes","Columbidae","Chalcophaps",1,0,"Chalcophaps_indica","yes"
"1672","Chalcophaps indica","ZOSFLA04_Chalcophaps indica","ZOSFLA04","Haemoproteus","Columbiformes","Columbidae","Chalcophaps",1,0,"Chalcophaps_indica","yes"
