"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"5195","Monticola solitarius_GRW04",1,"Monticola solitarius","GRW04","Plasmodium","Passeriformes","Turdidae","Monticola",1,NA,NA,"Monticola solitarius"
"5214","Motacilla flava_SGS1",2,"Motacilla flava","SGS1","Plasmodium","Passeriformes","Motacillidae","Motacilla",1,"Motacilla_flava","yes","Motacilla flava"
"5252","Muscicapa striata_SGS1",4,"Muscicapa striata","SGS1","Plasmodium","Passeriformes","Muscicapidae","Muscicapa",1,"Muscicapa_striata","yes","Muscicapa striata"
"5512","Nectarinia famosa_GRW04",1,"Nectarinia famosa","GRW04","Plasmodium","Passeriformes","Nectariniidae","Nectarinia",1,"Nectarinia_famosa","yes","Nectarinia famosa"
"5526","Nectarinia humbloti_GRW04",2,"Nectarinia humbloti","GRW04","Plasmodium","Passeriformes","Nectariniidae","Nectarinia",1,"Nectarinia_humbloti","yes","Nectarinia humbloti"
"5557","Nectarinia notata_GRW04",1,"Nectarinia notata","GRW04","Plasmodium","Passeriformes","Nectariniidae","Nectarinia",1,"Nectarinia_notata","yes","Nectarinia notata"
"5639","Nectarinia sovimanga_GRW04",1,"Cinnyris souimanga","GRW04","Plasmodium","Passeriformes","Nectariniidae","Cinnyris",1,"Nectarinia_sovimanga","no","Nectarinia sovimanga"
"5677","Neochmia temporalis_GRW04",1,"Neochmia temporalis","GRW04","Plasmodium","Passeriformes","Estrildidae","Neochmia",1,"Neochmia_temporalis","yes","Neochmia temporalis"
"5722","Nesillas typica_GRW04",2,"Nesillas typica","GRW04","Plasmodium","Passeriformes","Sylviidae","Nesillas",1,"Nesillas_typica","yes","Nesillas typica"
"5781","Notiomystis cincta_GRW04",1,"Notiomystis cincta","GRW04","Plasmodium","Passeriformes","Meliphagidae","Notiomystis",1,"Notiomystis_cincta","yes","Notiomystis cincta"
"5839","Oenanthe oenanthe_SGS1",1,"Oenanthe oenanthe","SGS1","Plasmodium","Passeriformes","Muscicapidae","Oenanthe",1,"Oenanthe_oenanthe","yes","Oenanthe oenanthe"
"5866","Orthotomus cuculatus_GRW04",1,"Orthotomus cucullatus","GRW04","Plasmodium","Passeriformes","Cisticolidae","Orthotomus",1,"Orthotomus_cuculatus","no","Orthotomus cuculatus"
"5868","Orthotomus sutorius_GRW04",1,"Orthotomus sutorius","GRW04","Plasmodium","Passeriformes","Cisticolidae","Orthotomus",1,"Orthotomus_sutorius","yes","Orthotomus sutorius"
"5923","Pachyptila belcheri_SGS1",1,"Pachyptila belcheri","SGS1","Plasmodium","Procellariiformes","Procellariidae","Pachyptila",1,"Pachyptila_belcheri","yes","Pachyptila belcheri"
"5949","Paradoxornis webbianus_GRW04",1,"Paradoxornis webbianus","GRW04","Plasmodium","Passeriformes","Muscicapidae","Paradoxornis",1,"Paradoxornis_webbianus","yes","Paradoxornis webbianus"
"5984","Parus ater_GRW11",3,"Periparus ater","GRW11","Plasmodium","Passeriformes","Paridae","Periparus",1,"Parus_ater","no","Parus ater"
"6000","Parus ater_SGS1",12,"Periparus ater","SGS1","Plasmodium","Passeriformes","Paridae","Periparus",1,"Parus_ater","no","Parus ater"
"6032","Parus atricapillus_SGS1",1,"Poecile atricapilla","SGS1","Plasmodium","Passeriformes","Paridae","Poecile",1,"Parus_atricapillus","no","Parus atricapillus"
"6056","Parus caeruleus_GRW04",1,"Cyanistes caeruleus","GRW04","Plasmodium","Passeriformes","Paridae","Cyanistes",1,"Parus_caeruleus","no","Parus caeruleus"
"6058","Parus caeruleus_GRW11",19,"Cyanistes caeruleus","GRW11","Plasmodium","Passeriformes","Paridae","Cyanistes",1,"Parus_caeruleus","no","Parus caeruleus"
"6092","Parus caeruleus_SGS1",29,"Cyanistes caeruleus","SGS1","Plasmodium","Passeriformes","Paridae","Cyanistes",1,"Parus_caeruleus","no","Parus caeruleus"
"6123","Parus cristatus_SGS1",2,"Lophophanes cristatus","SGS1","Plasmodium","Passeriformes","Paridae","Lophophanes",1,"Parus_cristatus","no","Parus cristatus"
"6145","Parus gambeli_SGS1",1,"Poecile gambeli","SGS1","Plasmodium","Passeriformes","Paridae","Poecile",1,"Parus_gambeli","no","Parus gambeli"
"6172","Parus major_GRW04",1,"Parus major","GRW04","Plasmodium","Passeriformes","Paridae","Parus",1,"Parus_major","yes","Parus major"
"6174","Parus major_GRW11",11,"Parus major","GRW11","Plasmodium","Passeriformes","Paridae","Parus",1,"Parus_major","yes","Parus major"
"6240","Parus major_SGS1",44,"Parus major","SGS1","Plasmodium","Passeriformes","Paridae","Parus",1,"Parus_major","yes","Parus major"
"6268","Parus montanus_SGS1",1,"Poecile montanus","SGS1","Plasmodium","Passeriformes","Paridae","Poecile",1,"Parus_montanus","no","Parus montanus"
"6277","Parus palustris_GRW11",1,"Parus palustris","GRW11","Plasmodium","Passeriformes","Paridae","Parus",1,"Parus_palustris","yes","Parus palustris"
"6291","Parus palustris_SGS1",3,"Parus palustris","SGS1","Plasmodium","Passeriformes","Paridae","Parus",1,"Parus_palustris","yes","Parus palustris"
